cv-folds,dataset,estimator,estimator_details,omics,train_accuracy,test_accuracy,fss_nogueira,avg_features,all_features,runs
5,BLCA,Lasso_f100,MyLasso(C=0.98309326171875),mirna,0.926047358834244,0.7094668489405331,0.4955509758950465,102.13333333333334,825,15
5,BLCA,Lasso_f10,MyLasso(C=0.71484375),rna,0.7696253437622772,0.7276714513556619,0.5890863194058278,11.2,23081,15
5,BLCA,Lasso_f25,MyLasso(C=0.818359375),rna,0.8405343047965999,0.7704374572795626,0.5243601219270606,26.2,23081,15
5,BLCA,Lasso_f100,MyLasso(C=0.927734375),rna,0.9587720990035359,0.8176008202323992,0.45482957295103277,104.13333333333334,23081,15
5,BRCA,Lasso_f10,MyLasso(C=0.75),__ALL__,0.8473922902494331,0.8403628117913833,0.7763733862594155,10.733333333333333,99475,15
5,BRCA,Lasso_f25,MyLasso(C=0.859375),__ALL__,0.8736961451247165,0.8575963718820862,0.6355272819234943,24.333333333333332,99475,15
5,BRCA,Lasso_f100,MyLasso(C=0.949951171875),__ALL__,0.9173469387755102,0.8820861678004535,0.48012886742117244,106.0,99475,15
5,BRCA,Lasso_f10,MyLasso(C=0.99072265625),mutation,0.703514739229025,0.6811791383219954,0.6607278756364292,13.4,17974,15
5,BRCA,Lasso_f25,MyLasso(C=0.9929962158203125),mutation,0.7332199546485261,0.6897959183673469,0.5871471459521599,24.0,17974,15
5,BRCA,Lasso_f100,MyLasso(C=0.9962158203125),mutation,0.8468253968253968,0.6997732426303855,0.4556507665119477,106.53333333333333,17974,15
5,BRCA,Lasso_f10,MyLasso(C=0.955902099609375),cnv,0.6781179138321995,0.6698412698412698,0.5208130555585433,9.8,57964,15
5,BRCA,Lasso_f25,MyLasso(C=0.97259521484375),cnv,0.7967120181405896,0.7582766439909296,0.42098568892829547,30.066666666666666,57964,15
5,BRCA,Lasso_f100,MyLasso(C=0.988525390625),cnv,0.8860544217687075,0.819047619047619,0.32901603988457484,90.2,57964,15
5,BRCA,Lasso_f10,MyLasso(C=0.875),mirna,0.8155328798185941,0.8099773242630386,0.8278464050992616,10.533333333333333,835,15
5,BRCA,Lasso_f25,MyLasso(C=0.953125),mirna,0.8396825396825397,0.8272108843537415,0.6834887029538468,27.666666666666668,835,15
5,BRCA,Lasso_f100,MyLasso(C=0.98516845703125),mirna,0.8789115646258504,0.8317460317460318,0.5026245545837382,100.0,835,15
5,BRCA,Lasso_f10,MyLasso(C=0.78125),rna,0.8535147392290249,0.8444444444444444,0.6966650011266887,12.0,22694,15
5,BRCA,Lasso_f25,MyLasso(C=0.85986328125),rna,0.8719954648526077,0.8585034013605443,0.5988606788450845,23.933333333333334,22694,15
5,BRCA,Lasso_f100,MyLasso(C=0.949951171875),rna,0.9180272108843538,0.8811791383219955,0.4808455810967891,106.2,22694,15
5,COAD,Lasso_f10,MyLasso(C=0.734375),__ALL__,0.81109391124871,0.7853801169590643,0.5040920352207823,8.066666666666666,99520,15
5,COAD,Lasso_f25,MyLasso(C=0.8359375),__ALL__,0.8656174750601995,0.7941520467836257,0.4727066237372346,25.6,99520,15
5,COAD,Lasso_f100,MyLasso(C=0.95703125),__ALL__,1.0,0.7469635627530364,0.34190084418685385,97.2,99520,15
5,COAD,Lasso_f10,MyLasso(C=0.96453857421875),mutation,0.6736526774452471,0.5566351776878092,0.2417007107316188,8.066666666666666,18537,15
5,COAD,Lasso_f25,MyLasso(C=0.978515625),mutation,0.7635104919160647,0.5549257759784075,0.3095522431602721,25.733333333333334,18537,15
5,COAD,Lasso_f100,MyLasso(C=0.9931640625),mutation,0.9938940488476092,0.5234817813765182,0.3295413571471216,95.66666666666667,18537,15
5,COAD,Lasso_f10,MyLasso(C=0.9609375),cnv,0.825925925925926,0.7730094466936572,0.4135837024318286,13.466666666666667,57964,15
5,COAD,Lasso_f25,MyLasso(C=0.97509765625),cnv,0.869541910331384,0.7765182186234818,0.4207235047776685,32.93333333333333,57964,15
5,COAD,Lasso_f100,MyLasso(C=0.991485595703125),cnv,0.9812378167641326,0.7242015294646874,0.39481604302537054,102.26666666666667,57964,15
5,COAD,Lasso_f10,MyLasso(C=0.88671875),mirna,0.7364665749340672,0.6669815564552407,0.5854822388009904,9.533333333333333,802,15
5,COAD,Lasso_f25,MyLasso(C=0.935546875),mirna,0.8067366127737645,0.666846603688709,0.5302008194778952,23.666666666666668,802,15
5,COAD,Lasso_f100,MyLasso(C=0.98583984375),mirna,0.9895310170851966,0.6595141700404858,0.4027408544641592,92.4,802,15
5,COAD,Lasso_f10,MyLasso(C=0.7421875),rna,0.8075880059626189,0.7818263607737292,0.4257623175367522,7.266666666666667,22210,15
5,COAD,Lasso_f25,MyLasso(C=0.828125),rna,0.8564585483316134,0.7784525416104363,0.40708175260710544,21.866666666666667,22210,15
5,COAD,Lasso_f100,MyLasso(C=0.9482421875),rna,0.9978127508313267,0.7505623031938822,0.32215267561324257,91.06666666666666,22210,15
